T_sync[ms], msShut_Enable, PumpA_Enable, N_Mode, N_Delay, Zpos, AIN_Volt, PCMD_Z, Tcorr_sum[us]
88682,0,1,10,10,1.007,2.919,1.258,-4
88950,0,1,10,10,1.002,1.360,0.868,-2
89219,0,1,10,10,1.002,1.762,0.946,-0
89488,0,1,10,10,0.999,2.121,1.026,-1
89757,0,1,10,10,0.993,2.455,1.106,-9
90026,0,1,10,10,0.998,2.722,1.189,-11
90295,0,1,10,10,1.010,2.953,1.271,-0
90563,0,1,10,10,1.001,1.427,0.879,1
90832,0,1,10,10,1.001,1.818,0.957,2
91101,0,1,10,10,0.995,2.185,1.037,-4
91370,0,1,10,10,0.995,2.491,1.119,-9
91639,0,1,10,10,0.998,2.767,1.202,-11
91907,0,1,10,10,0.994,1.079,0.814,-18
92176,0,1,10,10,1.006,1.491,0.896,-12
92445,0,1,10,10,1.006,1.882,0.977,-5
92714,0,1,10,10,1.001,2.228,1.054,-4
92983,0,1,10,10,0.993,2.548,1.133,-11
93252,0,1,10,10,1.002,2.798,1.215,-10
93520,0,1,10,10,0.995,1.151,0.826,-15
93789,0,1,10,10,1.006,1.551,0.908,-8
94058,0,1,10,10,1.005,1.937,0.988,-3
94327,0,1,10,10,0.997,2.288,1.066,-7
94596,0,1,10,10,0.996,2.583,1.146,-11
94865,0,1,10,10,1.001,2.841,1.228,-10
95133,0,1,10,10,0.999,1.204,0.839,-11
95402,0,1,10,10,1.004,1.618,0.919,-6
95671,0,1,10,10,1.002,1.996,0.999,-4
95940,0,1,10,10,0.996,2.336,1.078,-8
96209,0,1,10,10,0.995,2.632,1.159,-13
96478,0,1,10,10,1.006,2.871,1.241,-7
96746,0,1,10,10,0.999,1.281,0.851,-9
97015,0,1,10,10,1.005,1.672,0.931,-3
97284,0,1,10,10,0.999,2.055,1.010,-4
97553,0,1,10,10,0.995,2.386,1.090,-9
97822,0,1,10,10,0.996,2.671,1.172,-13
98091,0,1,10,10,1.006,2.910,1.254,-7
98359,0,1,10,10,1.002,1.333,0.864,-4
98628,0,1,10,10,1.001,1.744,0.942,-3
98897,0,1,10,10,0.999,2.103,1.022,-3
99166,0,1,10,10,0.994,2.436,1.102,-10
99435,0,1,10,10,0.996,2.714,1.184,-14
99704,0,1,10,10,1.010,2.939,1.267,-4
99972,0,1,10,10,1.001,1.410,0.876,-3
100241,0,1,10,10,1.003,1.791,0.954,0
100510,0,1,10,10,0.995,2.166,1.033,-5
100779,0,1,10,10,0.993,2.482,1.114,-12
101048,0,1,10,10,0.999,2.751,1.198,-14
101316,0,1,10,10,0.992,1.064,0.810,-22
101585,0,1,10,10,1.008,1.463,0.893,-14
101854,0,1,10,10,1.006,1.866,0.973,-8
102123,0,1,10,10,1.001,2.211,1.050,-7
102392,0,1,10,10,0.995,2.529,1.129,-12
102661,0,1,10,10,1.000,2.790,1.211,-13
102929,0,1,10,10,0.995,1.125,0.822,-18
103198,0,1,10,10,1.005,1.536,0.904,-13
103467,0,1,10,10,1.006,1.915,0.984,-6
103736,0,1,10,10,0.997,2.272,1.062,-9
104005,0,1,10,10,0.996,2.570,1.142,-13
104274,0,1,10,10,1.001,2.828,1.224,-12
104542,0,1,10,10,0.997,1.191,0.835,-15
104811,0,1,10,10,1.006,1.594,0.916,-9
105080,0,1,10,10,1.002,1.980,0.995,-7
105349,0,1,10,10,0.998,2.314,1.074,-9
105618,0,1,10,10,0.994,2.620,1.154,-15
105887,0,1,10,10,1.004,2.859,1.237,-10
106155,0,1,10,10,0.999,1.257,0.847,-12
106424,0,1,10,10,1.004,1.657,0.927,-7
106693,0,1,10,10,1.002,2.031,1.007,-5
106962,0,1,10,10,0.994,2.374,1.086,-12
107231,0,1,10,10,0.997,2.653,1.167,-14
107500,0,1,10,10,1.005,2.899,1.250,-9
107768,0,1,10,10,1.001,1.316,0.859,-8
108037,0,1,10,10,1.003,1.720,0.938,-5
108306,0,1,10,10,0.998,2.093,1.018,-7
108575,0,1,10,10,0.996,2.414,1.098,-12
108844,0,1,10,10,0.996,2.702,1.180,-16
109113,0,1,10,10,1.010,2.926,1.263,-6
109381,0,1,10,10,1.000,1.389,0.872,-6
109650,0,1,10,10,1.001,1.780,0.950,-4
109919,0,1,10,10,0.998,2.142,1.030,-7
110188,0,1,10,10,0.993,2.469,1.110,-14
110457,0,1,10,10,0.999,2.737,1.193,-16
110725,0,1,10,10,0.991,1.045,0.805,-26
110994,0,1,10,10,1.008,1.441,0.889,-17
111263,0,1,10,10,1.008,1.841,0.970,-9
111532,0,1,10,10,1.000,2.199,1.046,-9
111801,0,1,10,10,0.995,2.512,1.125,-14
112070,0,1,10,10,0.999,2.780,1.206,-16
112338,0,1,10,10,0.995,1.097,0.818,-21
112607,0,1,10,10,1.005,1.515,0.900,-15
112876,0,1,10,10,1.007,1.895,0.980,-8
113145,0,1,10,10,0.998,2.254,1.058,-10
113414,0,1,10,10,0.995,2.558,1.137,-16
113683,0,1,10,10,1.002,2.813,1.220,-14
113951,0,1,10,10,0.996,1.175,0.830,-19
114220,0,1,10,10,1.007,1.567,0.912,-11
114489,0,1,10,10,1.003,1.962,0.992,-9
114758,0,1,10,10,0.998,2.298,1.070,-11
115027,0,1,10,10,0.995,2.603,1.150,-16
115296,0,1,10,10,1.002,2.852,1.232,-14
115564,0,1,10,10,0.999,1.230,0.843,-15
